Unnamed: 0,id,forum,s_name,s_area_name,post_time,title,author,content,page_url,content_type,date,label_day1,label_day2,label_day3,label_day4,label_day5,content_cleaned
22,1646354724149_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 14:37:12,#標的 長榮(2603) 多 - 停利提醒,噗噗貓identy/M,長榮這檔無腦長抱中，佩大好文，來捧場。,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,腦長 好文 捧場
23,1646354724163_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 15:02:39,#標的 長榮(2603) 多 - 停利提醒,國立成功大學/M,"https://i.imgur.com/MCGe05I.jpg
 
All in啦   我相信陽明會補漲的！",https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,相信 補漲
24,1646354724175_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 15:15:36,#標的 長榮(2603) 多 - 停利提醒,國立高雄應用科技大學/M,以前的壓力變支撐先看有沒有跌倒150，跌破150為空，高於150為多,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,壓力 支撐 跌倒 跌破 為空 高於
25,1646354724191_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 17:13:39,#標的 長榮(2603) 多 - 停利提醒,國立政治大學/F,請問佩大 初入股市有很多地方不太熟悉 在開戰前一個禮拜入場剛好ETF都沒在萬八高點 這幾天看盤操作也都成績很差 有沒有什麼建議😭,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,請問 地方 熟悉 開戰 禮拜 入場 高點 看盤 操作 成績 沒有 建議
26,1646354724211_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 17:54:05,#標的 長榮(2603) 多 - 停利提醒,南臺科技大學/M,明天漲停我就賣,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,漲停
27,1646354724222_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 20:54:31,#標的 長榮(2603) 多 - 停利提醒,遠東科技大學/M,"請問大大去年疫情
現在一直出來配息高
然後殖利率高就漲很多 
那是不是該買大盤指數型ETF",https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,"請問 大大 疫情 出來 配息 高
 殖利率 大盤 指數型"
28,1646354724344_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 21:00:10,#標的 長榮(2603) 多 - 停利提醒,東海大學/F,希望佩大可以常常發文😍,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,希望 文😍
29,1646354724366_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 21:43:59,#標的 長榮(2603) 多 - 停利提醒,haha123shabu/M,請教一下停利點位如何觀察出來的,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,請教 停利 點位 觀察出來
30,1646354724380_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 21:46:31,#標的 長榮(2603) 多 - 停利提醒,啊如ruby2457130/F,"感謝分享 在12幾跟14幾把股票賣掉的我 目前還賠7萬...
原本想要今天進場的但覺得有點高了,明早再看看",https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,感謝 分享 股票 賣掉 想要 進場 覺得 看看
31,1646334510802_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 22:10:22,#請益 長榮(2603)該不該參加除息,國立暨南國際大學/M,一張是在擔心屁啊,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,擔心
32,1646354724390_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 22:30:11,#標的 長榮(2603) 多 - 停利提醒,正氣哥l1235468/M,我比較好奇，停利是一次全賣還是分批賣，或是達成什麼條件才賣幾張，目前還在摸索怎樣賣到好價錢。,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,好奇 停利 達成 條件 摸索 賣到 價錢
33,1646354724402_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 22:51:49,#標的 長榮(2603) 多 - 停利提醒,一個把留言刪除的同學,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,刪除 內容 一樣 錯過 相見
34,1646354724412_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 23:02:16,#標的 長榮(2603) 多 - 停利提醒,東海大學/M,"我在151上船
希望至少到177
不然跌破150就當參加除權息的存股～",https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,上船 希望 跌破 參加 權息 存股
35,1646354724424_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 23:18:22,#標的 長榮(2603) 多 - 停利提醒,一個把留言刪除的同學,已經刪除的內容就像 Dcard 一樣，錯過是無法再相見的！,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,刪除 內容 一樣 錯過 相見
36,1646354724433_F0DCU,forum,校園聊天-Dcard,股票,2022-03-03 23:23:49,#標的 長榮(2603) 多 - 停利提醒,國立臺北大學/F,看190 推斷依據來字zim,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-03,-1.0,0.0,0.0,0.0,0.0,推斷 依據
37,1646354724453_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 00:13:25,#標的 長榮(2603) 多 - 停利提醒,國立臺灣大學/M,推，哥的停利點和我一模模一樣樣，不過我今天159就先部分出場了，下一波應該165全數結利,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,停利點 一模模一樣樣 出場 結利
38,1646354724462_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 00:18:14,#標的 長榮(2603) 多 - 停利提醒,僑光科技大學/M,陽明怎麼看,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,
39,1646354724510_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 00:39:20,#標的 長榮(2603) 多 - 停利提醒,國立中正大學/M,萬海呢,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,
40,1646354724519_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 00:57:59,#標的 長榮(2603) 多 - 停利提醒,匿名dj_liquid/M,180,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,
41,1646354724609_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 01:08:11,#標的 長榮(2603) 多 - 停利提醒,東吳大學/M,"這兩檔有補漲的可能性嗎
像是
陽明有機會到140？
萬海有機會到210？",https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,"補漲 可能性 
陽明 機會 機會"
42,1646409714807_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 08:58:02,#請益 長榮(2603)該不該參加除息,一歲jayho/M,他曾經沒填息過,https://www.dcard.tw/f/stock/p/238241411,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,填息
43,1646416240261_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 11:16:18,#標的 長榮(2603) 多 - 停利提醒,幕之內kenten/M,航運股籌碼很乾淨因為最近漲很多但沒甚麼人在討論，我就說散戶永遠都是追高殺低沒耐心的,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,航運股 籌碼 乾淨 討論 散戶 追高 殺低 耐心
44,1646416240289_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 12:21:45,#標的 長榮(2603) 多 - 停利提醒,haha123shabu/M,今天跟著停利了，大家有在觀察其他支嗎,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,停利 觀察
45,1646416240380_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 12:22:11,#標的 長榮(2603) 多 - 停利提醒,國立政治大學/F,萬海有料,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,
46,1646416240389_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 12:47:24,#標的 長榮(2603) 多 - 停利提醒,中華醫事科技大學/F,之前買的172能解嗎😩,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,
47,1646416240398_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 12:58:07,#標的 長榮(2603) 多 - 停利提醒,國立中正大學/F,如果今天沒跟到停利 之後還有機會嗎🥺🥺,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,跟到 停利 機會
48,1646416240421_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 13:27:58,#標的 長榮(2603) 多 - 停利提醒,啊如ruby2457130/F,結果我160買入了...,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,買入
49,1646395573235_F02_dcard,forum,校園聊天-Dcard,股票,2022-03-04 19:55:53,#請益 2603長榮 該賣了嗎,Unisona007007007/M,"長榮今天最高到171 
又被打下來收159
因為航運類股還在衝
長榮已經做頭準備下跌了嗎
該不該先賣掉了",https://www.dcard.tw/f/stock/p/238272282,main,2022-03-04,0.0,0.0,0.0,0.0,1.0,"打下來 航運 類股 衝
 做頭 準備 下跌 賣掉"
50,1646473791441_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 22:08:09,#請益 2603長榮 該賣了嗎,長庚大學/M,"160-170盤整，150支撐全部股市的人都知道。
上面套牢的很多，上去需要時間跟傻子。",https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,整， 支撐 知道 套牢 上去 需要 時間 傻子
51,1646473791451_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 22:10:49,#請益 2603長榮 該賣了嗎,Unisona007007007/M,"B1 我也認為是盤整 但是以技術面來看 比較像是跌勢來臨
所以想不通😂",https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,認為 盤整 技術面 跌勢 來臨 通😂
52,1646473791476_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 22:14:28,#請益 2603長榮 該賣了嗎,期指小凱哥glant666/M,"上面尤其萬海，賣壓很重，有賺就先跑比較保險
我是認為下禮拜還會走一段，但是緩漲，這段是散戶追高的一段，下下禮拜割韭菜",https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,賣壓 保險 認為 禮拜 散戶 追高 禮拜 韭菜
53,1646473791492_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 22:28:45,#請益 2603長榮 該賣了嗎,臭小被被rosielu/F,續抱 我認為上看180,https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,續抱 認為
54,1646473791508_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 22:39:17,#請益 2603長榮 該賣了嗎,國立臺灣大學/M,"https://i.imgur.com/CEmVKwX.jpg
沒200不賣，最近續補陽明台驊",https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,續補
55,1646473791519_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 22:48:50,#請益 2603長榮 該賣了嗎,500kjasonlin730/M,"200以上分批賣

今天新聞: 法人最新預估，長榮2021、2022年EPS分別為46元、70元，陽明47元、65元，萬海EPS分別為42元、70元",https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,新聞 法人 預估
56,1646473791533_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 22:50:00,#請益 2603長榮 該賣了嗎,Unisona007007007/M,"B4-5 我個人看法是長榮不動 陽明不好動
下禮拜也視情況加陽明 
只是今天跳出一堆人吐槽長榮會大跌
下班看到嚇了一跳😅",https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,"看法 好動 禮拜 情況 跳出 吐槽 大跌
 下班 看到"
57,1646473791544_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 22:54:29,#請益 2603長榮 該賣了嗎,明月_mu_0509/M,雖然今天看起來在出貨，但還在五日之上，投信持續買超，短線都還有機會創高，想抱波段的話可以再等等看,https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,出貨 投信 持續 買超 短線 機會 創高 波段
58,1646473791569_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 23:27:19,#請益 2603長榮 該賣了嗎,Sean851127sean851127/M,今天怎麼看都不是出貨，只是漲多拉回和外資賣超，外資把資金轉向殖利率比較高的陽明，投信繼續買超，航運類股本來就是以投信為主，想賺錢就抱好，日本三井商船跟韓國現代商船都創歷史新高，長榮現在連200都不到，雖然我認為長榮沒辦法創歷史新高，但我只能告訴你行情還沒走完，看到投信轉賣或跌破十日線時再出貨就好,https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,出貨 拉回 外資 賣超 外資 資金 轉向 殖利率 投信 繼續 買超 航運 類股 投信 為主 賺錢 抱好 商船 現代 商船 歷史 新高 認為 沒辦法 歷史 新高 告訴 行情 走完 看到 投信 轉賣 跌破 十日線 出貨
59,1646416240448_F0DCU,forum,校園聊天-Dcard,股票,2022-03-04 23:28:50,#標的 長榮(2603) 多 - 停利提醒,haha123shabu/M,大家下次進場建倉時機約在什麼價位呢，或是什麼訊號浮現的時候,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-04,0.0,0.0,0.0,0.0,1.0,進場 建倉 時機 價位 訊號 浮現 時候
60,1646473791588_F0DCU,forum,校園聊天-Dcard,股票,2022-03-05 00:19:52,#請益 2603長榮 該賣了嗎,長庚大學/M,我是120繼續抱，去年都能上200了，今年要發股利沒理由回不去，不過重點還是海運會持續看好,https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-05,0.0,0.0,0.0,1.0,1.0,繼續 股利 理由 重點 持續 看好
61,1646473791602_F0DCU,forum,校園聊天-Dcard,股票,2022-03-05 00:41:03,#請益 2603長榮 該賣了嗎,淡江大學/M,卡,https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-05,0.0,0.0,0.0,1.0,1.0,
62,1646473791612_F0DCU,forum,校園聊天-Dcard,股票,2022-03-05 05:56:50,#請益 2603長榮 該賣了嗎,經國管理暨健康學院/M,卡,https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-05,0.0,0.0,0.0,1.0,1.0,
63,1646473791625_F0DCU,forum,校園聊天-Dcard,股票,2022-03-05 08:15:04,#請益 2603長榮 該賣了嗎,國立高雄應用科技大學/M,"上面冤魂沒那麼多
如果慢慢緩漲三天就穩
震盪三天就快跑",https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-05,0.0,0.0,0.0,1.0,1.0,"冤魂 慢慢 緩漲 穩
 震盪"
64,1646473791660_F0DCU,forum,校園聊天-Dcard,股票,2022-03-05 08:48:41,#請益 2603長榮 該賣了嗎,遠東科技大學/M,"洗一洗剛剛好啊
我也加碼了2張168
有辦法買更低但就是喜歡168的數字😃
至少上看180不用擔心",https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-05,0.0,0.0,0.0,1.0,1.0,加碼 辦法 喜歡 數字 擔心
65,1646473791673_F0DCU,forum,校園聊天-Dcard,股票,2022-03-05 09:30:07,#請益 2603長榮 該賣了嗎,國立政治大學/M,"賣壓重 還沒跌破均線  乖離率過大
成本高可以賣 等拉回再買 成本低坐看十日就好",https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-05,0.0,0.0,0.0,1.0,1.0,"賣壓 重  跌破 均線 乖離率 大
 成本 拉回 成本 低坐"
66,1646473791686_F0DCU,forum,校園聊天-Dcard,股票,2022-03-05 09:44:52,#請益 2603長榮 該賣了嗎,國立高雄應用科技大學/M,成本低就留 成本高盡量短線出掉,https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-05,0.0,0.0,0.0,1.0,1.0,成本 成本 高盡量 短線 出掉
67,1646479930940_F0DCU,forum,校園聊天-Dcard,股票,2022-03-05 13:58:13,#標的 長榮(2603) 多 - 停利提醒,德明財經科技大學/M,還會飆⋯已破前高,https://www.dcard.tw/f/stock/p/238260167,reply,2022-03-05,0.0,0.0,0.0,1.0,1.0,飆⋯
68,1646539495848_F0DCU,forum,校園聊天-Dcard,股票,2022-03-06 00:50:23,#請益 2603長榮 該賣了嗎,世新大學/F,"https://i.imgur.com/LVa8YJ6.jpg
上週已下車",https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-06,0.0,0.0,1.0,1.0,-1.0,下車
69,1646652292847_F0DCU,forum,校園聊天-Dcard,股票,2022-03-07 18:37:43,#請益 2603長榮 該賣了嗎,臭小被被rosielu/F,B4-8 兩隻都加了 台驊沒有研究耶sorry,https://www.dcard.tw/f/stock/p/238272282,reply,2022-03-07,0.0,1.0,1.0,-1.0,1.0,研究
70,1646655798770_F02_dcard,forum,校園聊天-Dcard,股票,2022-03-07 20:22:48,#請益 #請益 #2603 長榮,宏國德霖科技大學/F,"我是年前才剛開始碰股票的新手
剛好有跟上長榮航漲停那波😂

結果上禮拜看著長榮一直漲
忍不住也衝下去了
但⋯買在166🥲🥲
( 第一支比較高的股票😵
結果看著他今天直接大跌到151⋯⋯
心臟差點沒碎裂😵‍💫
請問各位會建議小賠先跑還是繼續等他回來呢😵‍💫💦💦

原本是想說他回來不會太久
🟢🟢但今天跌的也太悲慘🟢🟢",https://www.dcard.tw/f/stock/p/238297730,main,2022-03-07,0.0,1.0,1.0,-1.0,1.0,"開始 股票 手
 跟上 漲停 結果 禮拜 漲
 忍不住 衝下去 股票 結果 直接 大跌 心臟 碎裂😵‍💫
 請問 建議 繼續 回來 回來 久
🟢🟢 悲慘"
